,site_code,species_code,measurement_start_utc,measurement_end_utc,value
6148,EA6,NO2,2021-03-08 00:00:00,2021-03-08 01:00:00,93.7
263,EA6,NO2,2021-03-08 01:00:00,2021-03-08 02:00:00,80.3
817,EA6,NO2,2021-03-08 02:00:00,2021-03-08 03:00:00,69.6
344,EA6,NO2,2021-03-08 03:00:00,2021-03-08 04:00:00,65.0
6153,EA6,NO2,2021-03-08 04:00:00,2021-03-08 05:00:00,70.7
6111,EA6,NO2,2021-03-08 05:00:00,2021-03-08 06:00:00,77.2
1348,EA6,NO2,2021-03-08 06:00:00,2021-03-08 07:00:00,104.1
0,EA6,NO2,2021-03-08 07:00:00,2021-03-08 08:00:00,109.2
6122,EA6,NO2,2021-03-08 08:00:00,2021-03-08 09:00:00,99.4
6139,EA6,NO2,2021-03-08 09:00:00,2021-03-08 10:00:00,102.4
6166,EA6,NO2,2021-03-08 10:00:00,2021-03-08 11:00:00,85.8
6171,EA6,NO2,2021-03-08 11:00:00,2021-03-08 12:00:00,81.5
1,EA6,NO2,2021-03-08 12:00:00,2021-03-08 13:00:00,76.1
6114,EA6,NO2,2021-03-08 13:00:00,2021-03-08 14:00:00,81.1
1550,EA6,NO2,2021-03-08 14:00:00,2021-03-08 15:00:00,75.2
197,EA6,NO2,2021-03-08 15:00:00,2021-03-08 16:00:00,81.6
733,EA6,NO2,2021-03-08 16:00:00,2021-03-08 17:00:00,63.7
6123,EA6,NO2,2021-03-08 17:00:00,2021-03-08 18:00:00,84.6
6115,EA6,NO2,2021-03-08 18:00:00,2021-03-08 19:00:00,107.4
1936,EA6,NO2,2021-03-08 19:00:00,2021-03-08 20:00:00,108.2
250,EA6,NO2,2021-03-08 20:00:00,2021-03-08 21:00:00,109.9
4239,EA6,NO2,2021-03-08 21:00:00,2021-03-08 22:00:00,111.5
5046,EA6,NO2,2021-03-08 22:00:00,2021-03-08 23:00:00,87.4
6130,EA6,NO2,2021-03-08 23:00:00,2021-03-09 00:00:00,70.0
88,EA6,NO2,2021-03-09 00:00:00,2021-03-09 01:00:00,63.7
1979,EA6,NO2,2021-03-09 01:00:00,2021-03-09 02:00:00,56.6
3085,EA6,NO2,2021-03-09 02:00:00,2021-03-09 03:00:00,39.0
161,EA6,NO2,2021-03-09 03:00:00,2021-03-09 04:00:00,32.9
3075,EA6,NO2,2021-03-09 04:00:00,2021-03-09 05:00:00,40.9
1825,EA6,NO2,2021-03-09 05:00:00,2021-03-09 06:00:00,54.9
653,EA6,NO2,2021-03-09 06:00:00,2021-03-09 07:00:00,83.9
3072,EA6,NO2,2021-03-09 07:00:00,2021-03-09 08:00:00,98.1
1967,EA6,NO2,2021-03-09 08:00:00,2021-03-09 09:00:00,86.9
3092,EA6,NO2,2021-03-09 09:00:00,2021-03-09 10:00:00,84.9
3525,EA6,NO2,2021-03-09 10:00:00,2021-03-09 11:00:00,71.8
1999,EA6,NO2,2021-03-09 11:00:00,2021-03-09 12:00:00,72.0
1506,EA6,NO2,2021-03-09 12:00:00,2021-03-09 13:00:00,62.3
861,EA6,NO2,2021-03-09 13:00:00,2021-03-09 14:00:00,59.7
6046,EA6,NO2,2021-03-09 14:00:00,2021-03-09 15:00:00,57.4
948,EA6,NO2,2021-03-09 15:00:00,2021-03-09 16:00:00,49.4
887,EA6,NO2,2021-03-09 16:00:00,2021-03-09 17:00:00,59.9
3093,EA6,NO2,2021-03-09 17:00:00,2021-03-09 18:00:00,84.0
3097,EA6,NO2,2021-03-09 18:00:00,2021-03-09 19:00:00,87.2
3094,EA6,NO2,2021-03-09 19:00:00,2021-03-09 20:00:00,69.9
6043,EA6,NO2,2021-03-09 20:00:00,2021-03-09 21:00:00,71.4
2028,EA6,NO2,2021-03-09 21:00:00,2021-03-09 22:00:00,50.6
3084,EA6,NO2,2021-03-09 22:00:00,2021-03-09 23:00:00,51.3
155,EA6,NO2,2021-03-09 23:00:00,2021-03-10 00:00:00,49.9
582,EA6,NO2,2021-03-10 00:00:00,2021-03-10 01:00:00,32.7
1516,EA6,NO2,2021-03-10 01:00:00,2021-03-10 02:00:00,30.6
3076,EA6,NO2,2021-03-10 02:00:00,2021-03-10 03:00:00,19.9
1835,EA6,NO2,2021-03-10 03:00:00,2021-03-10 04:00:00,21.6
664,EA6,NO2,2021-03-10 04:00:00,2021-03-10 05:00:00,20.0
2509,EA6,NO2,2021-03-10 05:00:00,2021-03-10 06:00:00,34.2
3060,EA6,NO2,2021-03-10 06:00:00,2021-03-10 07:00:00,70.4
6044,EA6,NO2,2021-03-10 07:00:00,2021-03-10 08:00:00,74.1
1780,EA6,NO2,2021-03-10 08:00:00,2021-03-10 09:00:00,76.3
126,EA6,NO2,2021-03-10 09:00:00,2021-03-10 10:00:00,65.6
318,EA6,NO2,2021-03-10 10:00:00,2021-03-10 11:00:00,59.7
3057,EA6,NO2,2021-03-10 11:00:00,2021-03-10 12:00:00,60.7
3123,EA6,NO2,2021-03-10 12:00:00,2021-03-10 13:00:00,57.9
906,EA6,NO2,2021-03-10 13:00:00,2021-03-10 14:00:00,54.6
3071,EA6,NO2,2021-03-10 14:00:00,2021-03-10 15:00:00,56.4
5454,EA6,NO2,2021-03-10 15:00:00,2021-03-10 16:00:00,53.0
1992,EA6,NO2,2021-03-10 16:00:00,2021-03-10 17:00:00,51.6
1505,EA6,NO2,2021-03-10 17:00:00,2021-03-10 18:00:00,46.6
2207,EA6,NO2,2021-03-10 18:00:00,2021-03-10 19:00:00,45.7
157,EA6,NO2,2021-03-10 19:00:00,2021-03-10 20:00:00,43.3
2124,EA6,NO2,2021-03-10 20:00:00,2021-03-10 21:00:00,29.0
1297,EA6,NO2,2021-03-10 21:00:00,2021-03-10 22:00:00,22.6
1359,EA6,NO2,2021-03-10 22:00:00,2021-03-10 23:00:00,16.5
64,EA6,NO2,2021-03-10 23:00:00,2021-03-11 00:00:00,14.9
2389,EA6,NO2,2021-03-11 00:00:00,2021-03-11 01:00:00,11.2
107,EA6,NO2,2021-03-11 01:00:00,2021-03-11 02:00:00,11.2
3058,EA6,NO2,2021-03-11 02:00:00,2021-03-11 03:00:00,6.5
3065,EA6,NO2,2021-03-11 03:00:00,2021-03-11 04:00:00,5.5
3068,EA6,NO2,2021-03-11 04:00:00,2021-03-11 05:00:00,5.7
81,EA6,NO2,2021-03-11 05:00:00,2021-03-11 06:00:00,9.7
1870,EA6,NO2,2021-03-11 06:00:00,2021-03-11 07:00:00,19.1
3054,EA6,NO2,2021-03-11 07:00:00,2021-03-11 08:00:00,24.8
114,EA6,NO2,2021-03-11 08:00:00,2021-03-11 09:00:00,27.1
774,EA6,NO2,2021-03-11 09:00:00,2021-03-11 10:00:00,31.5
105,EA6,NO2,2021-03-11 10:00:00,2021-03-11 11:00:00,29.9
1975,EA6,NO2,2021-03-11 11:00:00,2021-03-11 12:00:00,25.8
1557,EA6,NO2,2021-03-11 12:00:00,2021-03-11 13:00:00,28.8
3045,EA6,NO2,2021-03-11 13:00:00,2021-03-11 14:00:00,29.1
297,EA6,NO2,2021-03-11 14:00:00,2021-03-11 15:00:00,29.9
746,EA6,NO2,2021-03-11 15:00:00,2021-03-11 16:00:00,32.2
11569,EA6,NO2,2021-03-11 16:00:00,2021-03-11 17:00:00,30.9
935,EA6,NO2,2021-03-11 17:00:00,2021-03-11 18:00:00,38.6
3063,EA6,NO2,2021-03-11 18:00:00,2021-03-11 19:00:00,39.6
1020,EA6,NO2,2021-03-11 19:00:00,2021-03-11 20:00:00,36.9
725,EA6,NO2,2021-03-11 20:00:00,2021-03-11 21:00:00,38.0
6054,EA6,NO2,2021-03-11 21:00:00,2021-03-11 22:00:00,27.8
1872,EA6,NO2,2021-03-11 22:00:00,2021-03-11 23:00:00,24.9
1109,EA6,NO2,2021-03-11 23:00:00,2021-03-12 00:00:00,31.2
187,EA6,NO2,2021-03-12 00:00:00,2021-03-12 01:00:00,21.8
702,EA6,NO2,2021-03-12 01:00:00,2021-03-12 02:00:00,23.0
1957,EA6,NO2,2021-03-12 02:00:00,2021-03-12 03:00:00,11.0
1599,EA6,NO2,2021-03-12 03:00:00,2021-03-12 04:00:00,12.0
2041,EA6,NO2,2021-03-12 04:00:00,2021-03-12 05:00:00,15.8
56,EA6,NO2,2021-03-12 05:00:00,2021-03-12 06:00:00,21.3
6055,EA6,NO2,2021-03-12 06:00:00,2021-03-12 07:00:00,71.1
345,EA6,NO2,2021-03-12 07:00:00,2021-03-12 08:00:00,77.6
6056,EA6,NO2,2021-03-12 08:00:00,2021-03-12 09:00:00,61.6
3047,EA6,NO2,2021-03-12 09:00:00,2021-03-12 10:00:00,43.5
1324,EA6,NO2,2021-03-12 10:00:00,2021-03-12 11:00:00,38.0
853,EA6,NO2,2021-03-12 11:00:00,2021-03-12 12:00:00,34.8
124,EA6,NO2,2021-03-12 12:00:00,2021-03-12 13:00:00,39.5
1593,EA6,NO2,2021-03-12 13:00:00,2021-03-12 14:00:00,34.3
363,EA6,NO2,2021-03-12 14:00:00,2021-03-12 15:00:00,37.4
1644,EA6,NO2,2021-03-12 15:00:00,2021-03-12 16:00:00,39.4
140,EA6,NO2,2021-03-12 16:00:00,2021-03-12 17:00:00,40.8
6053,EA6,NO2,2021-03-12 17:00:00,2021-03-12 18:00:00,42.8
1606,EA6,NO2,2021-03-12 18:00:00,2021-03-12 19:00:00,56.2
193,EA6,NO2,2021-03-12 19:00:00,2021-03-12 20:00:00,57.1
6042,EA6,NO2,2021-03-12 20:00:00,2021-03-12 21:00:00,42.1
1318,EA6,NO2,2021-03-12 21:00:00,2021-03-12 22:00:00,41.8
3042,EA6,NO2,2021-03-12 22:00:00,2021-03-12 23:00:00,27.8
205,EA6,NO2,2021-03-12 23:00:00,2021-03-13 00:00:00,33.6
128,EA6,NO2,2021-03-13 00:00:00,2021-03-13 01:00:00,24.4
180,EA6,NO2,2021-03-13 01:00:00,2021-03-13 02:00:00,12.7
121,EA6,NO2,2021-03-13 02:00:00,2021-03-13 03:00:00,7.5
16,EA6,NO2,2021-03-13 03:00:00,2021-03-13 04:00:00,4.5
160,EA6,NO2,2021-03-13 04:00:00,2021-03-13 05:00:00,3.7
130,EA6,NO2,2021-03-13 05:00:00,2021-03-13 06:00:00,7.5
85,EA6,NO2,2021-03-13 06:00:00,2021-03-13 07:00:00,20.3
19,EA6,NO2,2021-03-13 07:00:00,2021-03-13 08:00:00,34.7
61,EA6,NO2,2021-03-13 08:00:00,2021-03-13 09:00:00,29.9
122,EA6,NO2,2021-03-13 09:00:00,2021-03-13 10:00:00,28.1
159,EA6,NO2,2021-03-13 10:00:00,2021-03-13 11:00:00,27.2
145,EA6,NO2,2021-03-13 11:00:00,2021-03-13 12:00:00,27.6
60,EA6,NO2,2021-03-13 12:00:00,2021-03-13 13:00:00,24.5
165,EA6,NO2,2021-03-13 13:00:00,2021-03-13 14:00:00,27.0
95,EA6,NO2,2021-03-13 14:00:00,2021-03-13 15:00:00,36.7
28,EA6,NO2,2021-03-13 15:00:00,2021-03-13 16:00:00,44.8
137,EA6,NO2,2021-03-13 16:00:00,2021-03-13 17:00:00,44.3
118,EA6,NO2,2021-03-13 17:00:00,2021-03-13 18:00:00,26.5
94,EA6,NO2,2021-03-13 18:00:00,2021-03-13 19:00:00,56.6
113,EA6,NO2,2021-03-13 19:00:00,2021-03-13 20:00:00,65.3
125,EA6,NO2,2021-03-13 20:00:00,2021-03-13 21:00:00,50.0
63,EA6,NO2,2021-03-13 21:00:00,2021-03-13 22:00:00,49.1
3,EA6,NO2,2021-03-13 22:00:00,2021-03-13 23:00:00,44.2
106,EA6,NO2,2021-03-13 23:00:00,2021-03-14 00:00:00,39.1
90,EA6,NO2,2021-03-14 00:00:00,2021-03-14 01:00:00,24.6
14,EA6,NO2,2021-03-14 01:00:00,2021-03-14 02:00:00,24.8
75,EA6,NO2,2021-03-14 02:00:00,2021-03-14 03:00:00,15.6
166,EA6,NO2,2021-03-14 03:00:00,2021-03-14 04:00:00,11.1
135,EA6,NO2,2021-03-14 04:00:00,2021-03-14 05:00:00,12.2
53,EA6,NO2,2021-03-14 05:00:00,2021-03-14 06:00:00,15.2
45,EA6,NO2,2021-03-14 06:00:00,2021-03-14 07:00:00,30.4
17,EA6,NO2,2021-03-14 07:00:00,2021-03-14 08:00:00,42.4
152,EA6,NO2,2021-03-14 08:00:00,2021-03-14 09:00:00,37.9
62,EA6,NO2,2021-03-14 09:00:00,2021-03-14 10:00:00,34.3
111,EA6,NO2,2021-03-14 10:00:00,2021-03-14 11:00:00,37.1
116,EA6,NO2,2021-03-14 11:00:00,2021-03-14 12:00:00,33.9
92,EA6,NO2,2021-03-14 12:00:00,2021-03-14 13:00:00,39.6
83,EA6,NO2,2021-03-14 13:00:00,2021-03-14 14:00:00,40.6
78,EA6,NO2,2021-03-14 14:00:00,2021-03-14 15:00:00,44.2
117,EA6,NO2,2021-03-14 15:00:00,2021-03-14 16:00:00,50.2
26,EA6,NO2,2021-03-14 16:00:00,2021-03-14 17:00:00,43.1
13,EA6,NO2,2021-03-14 17:00:00,2021-03-14 18:00:00,38.2
71,EA6,NO2,2021-03-14 18:00:00,2021-03-14 19:00:00,28.5
153,EA6,NO2,2021-03-14 19:00:00,2021-03-14 20:00:00,35.0
139,EA6,NO2,2021-03-14 20:00:00,2021-03-14 21:00:00,47.1
69,EA6,NO2,2021-03-14 21:00:00,2021-03-14 22:00:00,35.2
93,EA6,NO2,2021-03-14 22:00:00,2021-03-14 23:00:00,32.5
30,EA6,NO2,2021-03-14 23:00:00,2021-03-15 00:00:00,22.6
144,EA6,NO2,2021-03-15 00:00:00,2021-03-15 01:00:00,20.2
11,EA6,NO2,2021-03-15 01:00:00,2021-03-15 02:00:00,16.8
150,EA6,NO2,2021-03-15 02:00:00,2021-03-15 03:00:00,11.2
41,EA6,NO2,2021-03-15 03:00:00,2021-03-15 04:00:00,14.5
70,EA6,NO2,2021-03-15 04:00:00,2021-03-15 05:00:00,18.9
7,EA6,NO2,2021-03-15 05:00:00,2021-03-15 06:00:00,35.9
67,EA6,NO2,2021-03-15 06:00:00,2021-03-15 07:00:00,77.2
46,EA6,NO2,2021-03-15 07:00:00,2021-03-15 08:00:00,97.2
146,EA6,NO2,2021-03-15 08:00:00,2021-03-15 09:00:00,68.5
22,EA6,NO2,2021-03-15 09:00:00,2021-03-15 10:00:00,59.0
18,EA6,NO2,2021-03-15 10:00:00,2021-03-15 11:00:00,51.4
102,EA6,NO2,2021-03-15 11:00:00,2021-03-15 12:00:00,50.7
74,EA6,NO2,2021-03-15 12:00:00,2021-03-15 13:00:00,44.1
89,EA6,NO2,2021-03-15 13:00:00,2021-03-15 14:00:00,50.0
84,EA6,NO2,2021-03-15 14:00:00,2021-03-15 15:00:00,40.4
163,EA6,NO2,2021-03-15 15:00:00,2021-03-15 16:00:00,43.8
36,EA6,NO2,2021-03-15 16:00:00,2021-03-15 17:00:00,56.3
154,EA6,NO2,2021-03-15 17:00:00,2021-03-15 18:00:00,63.1
76,EA6,NO2,2021-03-15 18:00:00,2021-03-15 19:00:00,84.4
79,EA6,NO2,2021-03-15 19:00:00,2021-03-15 20:00:00,99.7
6,EA6,NO2,2021-03-15 20:00:00,2021-03-15 21:00:00,75.7
24,EA6,NO2,2021-03-15 21:00:00,2021-03-15 22:00:00,63.3
51,EA6,NO2,2021-03-15 22:00:00,2021-03-15 23:00:00,46.8
101,EA6,NO2,2021-03-15 23:00:00,2021-03-16 00:00:00,47.6
